Sample name:,0920220410 125830
Operator:,SYSTEM,Data file:,WL_MicroGC-2022-04-10 12-58-30-04-00-01-r495.dx
Instrument:,WL_MicroGC,Injection date:,2022-04-10 12:59:12-04:00
Inj. volume:,0.000 s,Location:,1
Acq. method:,20210902 Ar-He.amx,Type:,Sample
Processing method:,20210902_Ar-He2.pmx,Calib Level:,
Sample amount:,0.00
Manually modified:,None
Signal:,Agilent 990 Micro GC1A
Name,RT [min],RF,Area,Amount  [],Concentration  [%],Group
Hydrogen,0.60,0.002,907.356,526249.500,526249.500,
Oxygen,0.68,1.242,5.246,4.225,4.225,
Nitrogen,0.78,0.464,17.553,37.858,37.858,
,,,Sum,526291.583,,
Signal:,Agilent 990 Micro GC1B
Name,RT [min],RF,Area,Amount  [],Concentration  [],Group
Carbon Dioxide,0.35,1.429,122.990,86.039,86.039,
,,,Sum,86.039,,

