Sample name:,0920220410 072955
Operator:,SYSTEM,Data file:,WL_MicroGC-2022-04-10 07-29-55-04-00-01-r383.dx
Instrument:,WL_MicroGC,Injection date:,2022-04-10 07:30:36-04:00
Inj. volume:,0.000 s,Location:,1
Acq. method:,20210902 Ar-He.amx,Type:,Sample
Processing method:,20210902_Ar-He2.pmx,Calib Level:,
Sample amount:,0.00
Manually modified:,None
Signal:,Agilent 990 Micro GC1A
Name,RT [min],RF,Area,Amount  [],Concentration  [%],Group
Hydrogen,0.60,0.002,910.268,527939.991,527939.991,
Oxygen,0.68,1.235,5.209,4.218,4.218,
Nitrogen,0.78,0.466,17.642,37.861,37.861,
,,,Sum,527982.070,,
Signal:,Agilent 990 Micro GC1B
Name,RT [min],RF,Area,Amount  [],Concentration  [],Group
Carbon Dioxide,0.35,1.429,137.342,96.079,96.079,
,,,Sum,96.079,,

