Sample name:,0920220410 124348
Operator:,SYSTEM,Data file:,WL_MicroGC-2022-04-10 12-43-48-04-00-01-r490.dx
Instrument:,WL_MicroGC,Injection date:,2022-04-10 12:44:32-04:00
Inj. volume:,0.000 s,Location:,1
Acq. method:,20210902 Ar-He.amx,Type:,Sample
Processing method:,20210902_Ar-He2.pmx,Calib Level:,
Sample amount:,0.00
Manually modified:,None
Signal:,Agilent 990 Micro GC1A
Name,RT [min],RF,Area,Amount  [],Concentration  [%],Group
Hydrogen,0.60,0.002,906.837,525948.220,525948.220,
Oxygen,0.68,1.233,5.200,4.216,4.216,
Nitrogen,0.78,0.456,17.253,37.849,37.849,
,,,Sum,525990.284,,
Signal:,Agilent 990 Micro GC1B
Name,RT [min],RF,Area,Amount  [],Concentration  [],Group
Carbon Dioxide,0.35,1.429,122.637,85.792,85.792,
,,,Sum,85.792,,

