Sample name:,0920220410 073544
Operator:,SYSTEM,Data file:,WL_MicroGC-2022-04-10 07-35-44-04-00-01-r385.dx
Instrument:,WL_MicroGC,Injection date:,2022-04-10 07:36:29-04:00
Inj. volume:,0.000 s,Location:,1
Acq. method:,20210902 Ar-He.amx,Type:,Sample
Processing method:,20210902_Ar-He2.pmx,Calib Level:,
Sample amount:,0.00
Manually modified:,None
Signal:,Agilent 990 Micro GC1A
Name,RT [min],RF,Area,Amount  [],Concentration  [%],Group
Hydrogen,0.60,0.002,910.584,528123.686,528123.686,
Oxygen,0.68,1.258,5.336,4.242,4.242,
Nitrogen,0.78,0.474,17.948,37.871,37.871,
,,,Sum,528165.799,,
Signal:,Agilent 990 Micro GC1B
Name,RT [min],RF,Area,Amount  [],Concentration  [],Group
Carbon Dioxide,0.35,1.429,137.253,96.017,96.017,
,,,Sum,96.017,,

