Sample name:,0920220410 071816
Operator:,SYSTEM,Data file:,WL_MicroGC-2022-04-10 07-18-16-04-00-01-r379.dx
Instrument:,WL_MicroGC,Injection date:,2022-04-10 07:18:58-04:00
Inj. volume:,0.000 s,Location:,1
Acq. method:,20210902 Ar-He.amx,Type:,Sample
Processing method:,20210902_Ar-He2.pmx,Calib Level:,
Sample amount:,0.00
Manually modified:,None
Signal:,Agilent 990 Micro GC1A
Name,RT [min],RF,Area,Amount  [],Concentration  [%],Group
Hydrogen,0.60,0.002,905.577,525216.965,525216.965,
Oxygen,0.68,1.268,5.393,4.253,4.253,
Nitrogen,0.78,0.452,17.092,37.843,37.843,
,,,Sum,525259.061,,
Signal:,Agilent 990 Micro GC1B
Name,RT [min],RF,Area,Amount  [],Concentration  [],Group
Carbon Dioxide,0.35,1.429,139.188,97.370,97.370,
,,,Sum,97.370,,

