Sample name:,0920220410 130124
Operator:,SYSTEM,Data file:,WL_MicroGC-2022-04-10 13-01-24-04-00-01-r496.dx
Instrument:,WL_MicroGC,Injection date:,2022-04-10 13:02:10-04:00
Inj. volume:,0.000 s,Location:,1
Acq. method:,20210902 Ar-He.amx,Type:,Sample
Processing method:,20210902_Ar-He2.pmx,Calib Level:,
Sample amount:,0.00
Manually modified:,None
Signal:,Agilent 990 Micro GC1A
Name,RT [min],RF,Area,Amount  [],Concentration  [%],Group
Hydrogen,0.60,0.002,906.357,525669.724,525669.724,
Oxygen,0.68,0.652,2.397,3.676,3.676,
Nitrogen,0.78,0.338,12.726,37.705,37.705,
,,,Sum,525711.105,,
Signal:,Agilent 990 Micro GC1B
Name,RT [min],RF,Area,Amount  [],Concentration  [],Group
Carbon Dioxide,0.35,1.429,122.981,86.033,86.033,
,,,Sum,86.033,,

